Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20220420,312720,3940391,821803
20220421,311939,3957930,825456
20220422,311549,3917006,807194
20220425,310768,3876082,788931
20220426,325994,3864390,810846
20220427,325214,3800081,792584
20220428,326775,3788388,799889
20220429,327166,3940391,821803
20220502,329508,3934545,807194
20220503,325994,3946238,803541
20220504,325994,3969623,799889
20220506,327556,3887775,785279
20220509,322481,3864390,785279
20220510,328337,3841005,803541
20220511,336145,3841005,807194
20220512,336926,3794234,796236
20220513,336926,3887775,821803
20220516,332631,3876082,807194
20220517,332631,3952084,821803
20220518,329898,3981315,829108
20220519,320529,3946238,810846
20220520,327556,3975469,821803
20220523,328727,3969623,825456
20220524,325214,3887775,792584
20220525,322481,3881928,788931
20220526,321700,3852697,752407
20220527,323652,3887775,774321
20220530,326385,3957930,781626
20220531,334583,3940391,788931
20220602,331851,3899467,781626
20220603,325994,3905314,781626
20220607,324042,3829312,759712
20220608,319357,3817619,774321
20220609,320919,3811773,770669
20220610,321700,3729925,756059
20220613,309207,3630539,723187
20220614,304522,3618846,723917
20220615,304912,3548691,715152
20220616,301398,3560383,711499
20220617,297104,3496074,704194
20220620,294761,3431765,690315
20220621,301789,3420072,695428
20220622,298275,3367456,673513
20220623,301398,3355763,658904
20220624,302570,3414226,669131
20220627,315844,3437611,693967
20220628,319748,3472689,696159
20220629,300227,3390841,686662
20220630,301789,3332378,664748
20220701,304522,3285608,639180
20220704,306474,3338225,650868
20220705,306083,3344071,675705
20220706,294371,3297301,672783
20220707,295542,3402534,685932
20220708,299837,3431765,692506
20220711,304522,3437611,684471
20220712,307255,3396687,681549
20220713,311549,3390841,686662
20220714,307645,3361610,686662
20220715,308816,3507767,720995
20220718,312720,3618846,737797
20220719,320529,3560383,730492
20220720,318577,3536998,745102
20220721,320138,3613000,748754
20220722,315844,3583768,730492
20220725,321309,3572076,730492
20220726,322090,3607153,734144
20220727,315453,3613000,730492
20220728,314282,3618846,726109
20220729,317015,3589615,715152
20220801,313892,3583768,709308
20220802,317015,3607153,704925
20220803,317405,3583768,712230
20220804,317405,3595461,712230
20220805,314282,3595461,719534
20220808,317796,3554537,703464
20220809,318186,3507767,694698
20220810,315063,3455150,670591
20220811,315453,3501920,681549
20220812,321700,3519459,681549
20220816,320138,3566229,706386
20220817,307255,3531152,709308
20220818,299446,3595461,699081
20220819,301398,3560383,704194
20220822,302179,3507767,695428
20220823,302179,3455150,683740
20220824,299056,3449304,680818
20220825,308816,3490228,687393
20220826,308035,3507767,694698
20220829,302570,3425919,675705
20220830,312720,3437611,680818
20220831,315453,3490228,695428
20220901,313111,3414226,674974
20220902,315453,3361610,669861
20220905,316234,3338225,665478
20220906,317796,3338225,670591
20220907,321309,3273916,660365
20220908,315844,3250530,660365
20220913,317405,3396687,692506
20220914,313501,3320686,679357
20220915,312330,3273916,672052
20220916,316624,3285608,666209
20220919,315453,3297301,657443
20220920,313892,3262223,642833
20220921,311159,3232992,642833
20220922,309207,3180375,628223
20220923,302960,3186221,609961
20220926,292028,3151144,602656
20220927,298665,3168683,599003
20220928,288515,3092681,593159
20220929,290857,3075142,590237
20220930,280706,3104373,607039
20221004,284220,3227145,629684
20221005,277583,3273916,655982
20221006,279145,3291454,656712
20221007,277193,3285608,666209
20221011,263138,3238838,658904
20221012,266261,3262223,686662
20221013,266652,3227145,693237
20221014,269384,3291454,697620
20221017,268213,3308993,695428
20221018,269775,3303147,699811
20221019,269384,3262223,678627
20221020,267042,3244684,658904
20221021,265090,3268069,661095
20221024,254939,3361610,670591
20221025,258843,3373302,683010
20221026,255720,3472689,685932
20221027,257672,3478535,657443
20221028,258453,3349917,609230
20221031,258843,3472689,604117
20221101,258843,3507767,612883
20221102,258453,3484382,617266
20221103,251816,3460996,604117
20221104,254939,3472689,617266
20221107,261967,3519459,631875
20221108,263528,3613000,640641
20221109,263138,3624692,651599
20221110,260015,3531152,650868
20221111,265480,3677309,683010
20221114,272898,3618846,664017
20221115,267432,3648077,669131
20221116,264700,3665616,668400
20221117,258843,3589615,640641
20221118,257672,3613000,645755
20221121,254549,3589615,630414
20221122,254549,3542844,622379
20221123,258843,3566229,622379
20221124,257282,3589615,634797
20221125,255330,3566229,621649
20221128,255330,3513613,607039
20221129,262747,3542844,611422
20221130,267823,3636385,620918
20221201,267823,3659770,618727
20221202,259624,3531152,598273
20221205,256110,3525306,591698
20221206,254158,3460996,591698
20221207,253768,3443458,576358
20221208,252597,3460996,575627
20221209,254549,3531152,595351
20221212,254158,3478535,592429
20221213,244008,3490228,601195
20221214,250254,3536998,597542
20221215,250254,3466843,585854
20221216,250254,3478535,572706
20221219,243617,3478535,577088
20221220,243617,3425919,571975
20221221,242056,3390841,569784
20221222,247912,3455150,578549
20221223,244788,3396687,568323
20221226,248693,3384995,562479
20221227,250254,3396687,562479
20221228,237761,3308993,555174
20221229,231514,3232992,547869
20230102,240103,3244684,552982
20230103,243617,3238838,552252
20230104,242056,3379149,591698
20230105,238542,3402534,594620
20230106,240103,3449304,607039
20230109,250254,3548691,628223
20230110,249473,3531152,631875
20230111,250645,3536998,637719
20230112,249473,3536998,634067
20230113,254939,3554537,626031
20230116,252206,3572076,626762
20230117,253768,3566229,628223
20230118,252597,3531152,621649
20230119,251035,3595461,624570
20230120,251035,3613000,639911
20230125,253768,3706540,667670
20230126,270556,3735772,674244
20230127,268213,3776695,668400
20230130,267823,3700694,662556
20230131,260795,3566229,646485
20230201,271337,3613000,667670
20230202,272117,3712386,682279
20230203,277974,3729925,673513
20230206,275241,3601307,650868
20230207,278364,3618846,663287
20230208,279145,3689001,693237
20230209,279926,3683155,689584
20230210,282659,3671462,683010
20230213,285782,3677309,661826
20230214,286953,3694848,682279
20230215,283439,3636385,669861
20230216,298665,3724079,678627
20230217,298275,3659770,672052
20230220,297885,3665616,675705
20230221,299056,3630539,666209
20230222,290857,3572076,650868
20230223,298275,3624692,677166
20230224,293980,3583768,664748
20230227,296713,3536998,657443
20230228,293980,3542844,653060
20230302,303741,3554537,643563
20230303,305302,3536998,637719
20230306,306474,3595461,655251
20230307,302960,3548691,649407
20230308,308035,3525306,634067
20230309,304912,3513613,625301
20230310,304522,3478535,608500
20230313,307645,3507767,615805
20230314,297885,3449304,592429
20230315,310768,3496074,577819
20230316,308816,3501920,577088
20230317,313111,3583768,613613
20230320,304522,3519459,611422
20230321,303350,3525306,610691
20230322,308035,3572076,634797
20230323,306083,3642231,646485
20230324,302960,3683155,637719
20230327,296713,3630539,624570
20230328,300227,3677309,645755
20230329,310378,3665616,634797
20230330,309987,3694848,648677
20230331,316234,3741618,647216
20230403,317015,3689001,636989
20230404,312720,3718233,617266
20230405,317405,3735772,617996
20230406,316234,3642231,612152
20230407,312720,3800081,650868
20230410,316234,3841005,662556
20230411,331851,3852697,670591
20230412,336145,3858543,659634
20230413,338097,3864390,647946
20230414,333022,3805927,652329
20230417,329898,3817619,646485
20230418,322871,3835158,639911
20230419,333412,3829312,644294
20230420,328337,3817619,640641
20230421,325214,3841005,650868
20230424,330679,3811773,636989
20230425,338097,3718233,624570
20230426,334583,3747464,638450
20230427,338097,3776695,648677
20230428,329898,3829312,653790
20230502,339268,3841005,658904
20230503,337707,3823466,655982
20230504,335364,3805927,647946
20230508,340049,3852697,647946
20230509,342001,3817619,637719
20230510,351371,3776695,634797
