Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20220420,1921.2,11251.28,3268.13
20220421,1305.58,8697.72,3615.84
20220422,995.02,7900.29,2608.72
20220425,1529.07,7303.92,2464.93
20220426,3785.48,8557.92,3296.16
20220427,1692.54,11779.35,3538.5
20220428,1157.33,10948.3,3071.44
20220429,1012.04,17652.32,4221.47
20220502,917.21,9493.46,2403.8
20220503,818.06,9563.99,2943.73
20220504,721.25,7812.06,2728.62
20220506,1150.22,9546.84,2759.32
20220509,772.63,7838.62,2368.73
20220510,1445.31,11323.79,4556.12
20220511,2193.34,8101.41,4042.28
20220512,1690.85,10652.81,4504.91
20220513,1482.92,9676.77,4503.77
20220516,1231.96,7914.6,4342.7
20220517,1009.18,10599.98,2313.16
20220518,1292.8,11227.18,4052.08
20220519,1065.26,11524.77,4084.85
20220520,821.92,8234.58,2698.85
20220523,632.12,9291.5,3570.83
20220524,567.25,10295.91,4873.64
20220525,690.49,10059.93,4483.68
20220526,863.02,10524.82,8778.69
20220527,862.16,7584.69,3907.68
20220530,660.03,9650.96,2198.34
20220531,1884.12,16422.01,4346.47
20220602,1151.66,9977.95,3314.41
20220603,1048.43,5492.89,1752.67
20220607,724.55,12678.02,3301.5
20220608,1219.6,8151.52,3260.06
20220609,1411.91,16815.55,4895.98
20220610,926.65,14159.49,3602.1
20220613,1168.68,13760.0,4092.11
20220614,1150.19,15231.37,3213.37
20220615,1213.67,16274.41,2524.35
20220616,977.33,14247.49,3711.62
20220617,1323.13,17373.96,3822.71
20220620,570.91,20023.34,2254.98
20220621,746.61,14711.64,2577.35
20220622,745.87,13440.78,3236.06
20220623,1097.04,16266.36,3592.77
20220624,1080.32,13581.56,2790.11
20220627,1354.6,10655.87,3238.31
20220628,1079.62,8043.08,1927.89
20220629,2850.4,8512.74,2378.17
20220630,1824.06,10781.63,2819.96
20220701,786.29,14039.94,4339.28
20220704,949.44,10167.87,3859.57
20220705,793.88,8131.86,3293.08
20220706,1091.78,9486.74,3666.8
20220707,1090.51,12409.89,3127.62
20220708,829.26,9004.15,2668.13
20220711,979.92,7669.06,1766.64
20220712,843.89,5424.25,2225.85
20220713,1012.15,6287.96,2558.51
20220714,1004.41,8663.53,2397.29
20220715,889.27,11211.35,4399.26
20220718,737.43,12895.33,4610.43
20220719,1284.47,9286.19,2709.08
20220720,1082.38,10153.25,4060.67
20220721,1334.92,7596.07,2197.58
20220722,1756.86,6290.18,3126.56
20220725,1324.88,5617.34,2185.11
20220726,755.72,4070.48,1645.15
20220727,1599.55,4524.38,3159.5
20220728,1001.95,6651.34,3339.56
20220729,1125.58,9267.18,3817.2
20220801,865.31,8063.9,1949.42
20220802,1002.85,8400.39,1849.76
20220803,672.12,6163.02,1660.75
20220804,754.53,5612.14,1911.51
20220805,871.68,5884.09,2022.06
