Code,A000270,A005930,A000660
Name,기아,삼성전자,SK하이닉스
20220420,390412998,5846278608,730492365
20220421,390412998,5846278608,730492365
20220422,390412998,5846278608,730492365
20220425,390412998,5846278608,730492365
20220426,390412998,5846278608,730492365
20220427,390412998,5846278608,730492365
20220428,390412998,5846278608,730492365
20220429,390412998,5846278608,730492365
20220502,390412998,5846278608,730492365
20220503,390412998,5846278608,730492365
20220504,390412998,5846278608,730492365
20220506,390412998,5846278608,730492365
20220509,390412998,5846278608,730492365
20220510,390412998,5846278608,730492365
20220511,390412998,5846278608,730492365
20220512,390412998,5846278608,730492365
20220513,390412998,5846278608,730492365
20220516,390412998,5846278608,730492365
20220517,390412998,5846278608,730492365
20220518,390412998,5846278608,730492365
20220519,390412998,5846278608,730492365
20220520,390412998,5846278608,730492365
20220523,390412998,5846278608,730492365
20220524,390412998,5846278608,730492365
20220525,390412998,5846278608,730492365
20220526,390412998,5846278608,730492365
20220527,390412998,5846278608,730492365
20220530,390412998,5846278608,730492365
20220531,390412998,5846278608,730492365
20220602,390412998,5846278608,730492365
20220603,390412998,5846278608,730492365
20220607,390412998,5846278608,730492365
20220608,390412998,5846278608,730492365
20220609,390412998,5846278608,730492365
20220610,390412998,5846278608,730492365
20220613,390412998,5846278608,730492365
20220614,390412998,5846278608,730492365
20220615,390412998,5846278608,730492365
20220616,390412998,5846278608,730492365
20220617,390412998,5846278608,730492365
20220620,390412998,5846278608,730492365
20220621,390412998,5846278608,730492365
20220622,390412998,5846278608,730492365
20220623,390412998,5846278608,730492365
20220624,390412998,5846278608,730492365
20220627,390412998,5846278608,730492365
20220628,390412998,5846278608,730492365
20220629,390412998,5846278608,730492365
20220630,390412998,5846278608,730492365
20220701,390412998,5846278608,730492365
20220704,390412998,5846278608,730492365
20220705,390412998,5846278608,730492365
20220706,390412998,5846278608,730492365
20220707,390412998,5846278608,730492365
20220708,390412998,5846278608,730492365
20220711,390412998,5846278608,730492365
20220712,390412998,5846278608,730492365
20220713,390412998,5846278608,730492365
20220714,390412998,5846278608,730492365
20220715,390412998,5846278608,730492365
20220718,390412998,5846278608,730492365
20220719,390412998,5846278608,730492365
20220720,390412998,5846278608,730492365
20220721,390412998,5846278608,730492365
20220722,390412998,5846278608,730492365
20220725,390412998,5846278608,730492365
20220726,390412998,5846278608,730492365
20220727,390412998,5846278608,730492365
20220728,390412998,5846278608,730492365
20220729,390412998,5846278608,730492365
20220801,390412998,5846278608,730492365
20220802,390412998,5846278608,730492365
20220803,390412998,5846278608,730492365
20220804,390412998,5846278608,730492365
20220805,390412998,5846278608,730492365
20220808,390412998,5846278608,730492365
20220809,390412998,5846278608,730492365
20220810,390412998,5846278608,730492365
20220811,390412998,5846278608,730492365
20220812,390412998,5846278608,730492365
20220816,390412998,5846278608,730492365
20220817,390412998,5846278608,730492365
20220818,390412998,5846278608,730492365
20220819,390412998,5846278608,730492365
20220822,390412998,5846278608,730492365
20220823,390412998,5846278608,730492365
20220824,390412998,5846278608,730492365
20220825,390412998,5846278608,730492365
20220826,390412998,5846278608,730492365
20220829,390412998,5846278608,730492365
20220830,390412998,5846278608,730492365
20220831,390412998,5846278608,730492365
20220901,390412998,5846278608,730492365
20220902,390412998,5846278608,730492365
20220905,390412998,5846278608,730492365
20220906,390412998,5846278608,730492365
20220907,390412998,5846278608,730492365
20220908,390412998,5846278608,730492365
20220913,390412998,5846278608,730492365
20220914,390412998,5846278608,730492365
20220915,390412998,5846278608,730492365
20220916,390412998,5846278608,730492365
20220919,390412998,5846278608,730492365
20220920,390412998,5846278608,730492365
20220921,390412998,5846278608,730492365
20220922,390412998,5846278608,730492365
20220923,390412998,5846278608,730492365
20220926,390412998,5846278608,730492365
20220927,390412998,5846278608,730492365
20220928,390412998,5846278608,730492365
20220929,390412998,5846278608,730492365
20220930,390412998,5846278608,730492365
20221004,390412998,5846278608,730492365
20221005,390412998,5846278608,730492365
20221006,390412998,5846278608,730492365
20221007,390412998,5846278608,730492365
20221011,390412998,5846278608,730492365
20221012,390412998,5846278608,730492365
20221013,390412998,5846278608,730492365
20221014,390412998,5846278608,730492365
20221017,390412998,5846278608,730492365
20221018,390412998,5846278608,730492365
20221019,390412998,5846278608,730492365
20221020,390412998,5846278608,730492365
20221021,390412998,5846278608,730492365
20221024,390412998,5846278608,730492365
20221025,390412998,5846278608,730492365
20221026,390412998,5846278608,730492365
20221027,390412998,5846278608,730492365
20221028,390412998,5846278608,730492365
20221031,390412998,5846278608,730492365
20221101,390412998,5846278608,730492365
20221102,390412998,5846278608,730492365
20221103,390412998,5846278608,730492365
20221104,390412998,5846278608,730492365
20221107,390412998,5846278608,730492365
20221108,390412998,5846278608,730492365
20221109,390412998,5846278608,730492365
20221110,390412998,5846278608,730492365
20221111,390412998,5846278608,730492365
20221114,390412998,5846278608,730492365
20221115,390412998,5846278608,730492365
20221116,390412998,5846278608,730492365
20221117,390412998,5846278608,730492365
20221118,390412998,5846278608,730492365
20221121,390412998,5846278608,730492365
20221122,390412998,5846278608,730492365
20221123,390412998,5846278608,730492365
20221124,390412998,5846278608,730492365
20221125,390412998,5846278608,730492365
20221128,390412998,5846278608,730492365
20221129,390412998,5846278608,730492365
20221130,390412998,5846278608,730492365
20221201,390412998,5846278608,730492365
20221202,390412998,5846278608,730492365
20221205,390412998,5846278608,730492365
20221206,390412998,5846278608,730492365
20221207,390412998,5846278608,730492365
20221208,390412998,5846278608,730492365
20221209,390412998,5846278608,730492365
20221212,390412998,5846278608,730492365
20221213,390412998,5846278608,730492365
20221214,390412998,5846278608,730492365
20221215,390412998,5846278608,730492365
20221216,390412998,5846278608,730492365
20221219,390412998,5846278608,730492365
20221220,390412998,5846278608,730492365
20221221,390412998,5846278608,730492365
20221222,390412998,5846278608,730492365
20221223,390412998,5846278608,730492365
20221226,390412998,5846278608,730492365
20221227,390412998,5846278608,730492365
20221228,390412998,5846278608,730492365
20221229,390412998,5846278608,730492365
20230102,390412998,5846278608,730492365
20230103,390412998,5846278608,730492365
20230104,390412998,5846278608,730492365
20230105,390412998,5846278608,730492365
20230106,390412998,5846278608,730492365
20230109,390412998,5846278608,730492365
20230110,390412998,5846278608,730492365
20230111,390412998,5846278608,730492365
20230112,390412998,5846278608,730492365
20230113,390412998,5846278608,730492365
20230116,390412998,5846278608,730492365
20230117,390412998,5846278608,730492365
20230118,390412998,5846278608,730492365
20230119,390412998,5846278608,730492365
20230120,390412998,5846278608,730492365
20230125,390412998,5846278608,730492365
20230126,390412998,5846278608,730492365
20230127,390412998,5846278608,730492365
20230130,390412998,5846278608,730492365
20230131,390412998,5846278608,730492365
20230201,390412998,5846278608,730492365
20230202,390412998,5846278608,730492365
20230203,390412998,5846278608,730492365
20230206,390412998,5846278608,730492365
20230207,390412998,5846278608,730492365
20230208,390412998,5846278608,730492365
20230209,390412998,5846278608,730492365
20230210,390412998,5846278608,730492365
20230213,390412998,5846278608,730492365
20230214,390412998,5846278608,730492365
20230215,390412998,5846278608,730492365
